username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"PaddyJCawkwell","2018-07-27-15:38",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022929355847213057","","","https://twitter.com/PaddyJCawkwell/status/1022929355847213057",""
"almac18","2018-07-27-15:11",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022922533841063936","","","https://twitter.com/almac18/status/1022922533841063936",""
"mojos55","2018-07-27-14:59",1,3,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022919467679006720","","","https://twitter.com/mojos55/status/1022919467679006720",""
"killingbritain","2018-07-27-14:54",0,0,0,"Grenfell: Police say they have 'reasonable grounds' to suspect Kensington council and TMO committed corporate manslaughter Bosses of local authority and TMO to be interviewed by detectives http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html … # bbcqt # Grenfell","","","# bbcqt # Grenfell","1022918069306437632","","","https://twitter.com/killingbritain/status/1022918069306437632",""
"radowitzky57","2018-07-27-11:56",0,2,1,"police say RBKC will face corporate manslaughter charge Corporate Mansughter cop out by Grenfell cops/cps - means only an unlimited fine and no prison for council leaders and the fine will apply to RBKC not individuals so is our money anyway","","","","1022873481338384386","","","https://twitter.com/radowitzky57/status/1022873481338384386",""
"BULLDOGFITOUTS","2018-07-20-13:20",0,0,0,"Grenfell: Police reveal three interviews held In addition to considering gross negligence manslaughter and corporate manslaughter, the Met is also examining possible breaches of the Health and Safety Act. It added that no arrests had been made at this ... https://www.constructionnews.co.uk/best-practice/health-and-safety/grenfell-police-reveal-three-interviews-held/10033290.article …","","","","1020357691091320832","","","https://twitter.com/BULLDOGFITOUTS/status/1020357691091320832",""
"Yabiladi_en","2018-07-19-13:31",0,0,0,"Grenfell fire inquiry : Police say that they may consider corporate manslaughter charges https://ift.tt/2zPgKoV","","","","1019998147874050048","","","https://twitter.com/Yabiladi_en/status/1019998147874050048",""
"hgguyse","2018-07-19-12:16",0,0,0,"Grenfell police carry out three interviews under caution - Met considers whether offences including corporate manslaughter were committed https://www.theguardian.com/uk-news/2018/jul/18/grenfell-police-carry-out-three-interviews-under-caution?CMP=share_btn_tw …","","","","1019979275653480448","","","https://twitter.com/hgguyse/status/1019979275653480448",""
"fleming77","2018-07-18-15:43",0,0,0,"Grenfell police carry out three interviews under caution Met considers whether offences including corporate manslaughter were committed https://goo.gl/TRdeFU","","","","1019668982943682566","","","https://twitter.com/fleming77/status/1019668982943682566",""
"Herm1itageGar","2018-07-18-12:54",0,0,0,"Grenfell police carry out three interviews under caution https://www.theguardian.com/uk-news/2018/jul/18/grenfell-police-carry-out-three-interviews-under-caution?CMP=share_btn_tw … Corporate manslaughter has to include the Corporation of Kensington + Chelsea as defendants, particularly their former chairman.","","","","1019626585396310017","","","https://twitter.com/Herm1itageGar/status/1019626585396310017",""
"andrewfeinstein","2018-07-18-11:27",2,3,0,"Grenfell police carry out three interviews under caution, as detectives investigate possible charges of gross negligence manslaughter, corporate manslaughter and breaches of the Health and Safety Act https://www.theguardian.com/uk-news/2018/jul/18/grenfell-police-carry-out-three-interviews-under-caution?CMP=share_btn_tw …","","","","1019604646615244801","","","https://twitter.com/andrewfeinstein/status/1019604646615244801",""
